event	E	sd	signal/noise	char_func_max
CMTSOLUTION_200801011855A	0.949251101851	0.0550428121065	329.085393356	0.985005770892
CMTSOLUTION_200801040729A	1.10648700386	0.0537574337374	131.274845696	0.837918503773
CMTSOLUTION_200801051101A	1.15139988437	0.0198242553919	1392.07593917	0.972006048909
CMTSOLUTION_200801051144A	1.14972384375	0.0339295370353	114.010906823	0.938544633317
CMTSOLUTION_200801060514A	0.947294131733	0.0728388288532	491.076591202	0.923095989226
CMTSOLUTION_200801090826A	0.750966555272	0.0487698159427	2296.3437821	0.957327522659
CMTSOLUTION_200801091440A	0.981105704684	0.019817985737	405.13835948	0.97288626387
CMTSOLUTION_200801100137A	0.879615819386	0.0231529239332	855.337449912	0.937696556962
CMTSOLUTION_200801202026A	1.01944727369	0.0723822450158	29.8614963716	0.840239924557
CMTSOLUTION_200801221714A	1.0367799691	0.232276752257	106.415365409	0.813129887986
CMTSOLUTION_200801300732A	3.4031390634	0.21832198577	121.795557192	-0.794570325052
CMTSOLUTION_200802041701A	0.915054877279	0.0718842787941	368.108670209	0.958559308792
CMTSOLUTION_200802080938A	0.91761272274	0.0557834913481	12074.4274767	0.953690775193
CMTSOLUTION_200802091833A	0.896809150531	0.0442197044196	182.057463666	0.943562664468
CMTSOLUTION_200802101222A	1.11085047713	0.0842093128942	1061.99844653	0.927939754137
CMTSOLUTION_200802121250A	0.955257218637	0.0281123807101	1207.81731618	0.991261793973
CMTSOLUTION_200802131958A	2.56746287326	0.251466656697	317.903222601	-0.938159495718
CMTSOLUTION_200802141009A	0.683111603104	0.0594963287475	5020.05351651	0.956436041931
CMTSOLUTION_200802141208A	0.795347082915	0.0170826486909	21.1504425678	0.851473707741
CMTSOLUTION_200802161445A	1.04136129962	0.0631339684939	143.375757189	0.96848677318
CMTSOLUTION_200802200808A	1.69739921363	0.0125883894902	4887.2542591	0.639602788855
CMTSOLUTION_200802201827A	0.749736416281	0.0819692874122	3010.73222742	0.976621209868
CMTSOLUTION_200802210246A	0.984709493212	0.0362672312701	2131.1255324	0.997106424086
CMTSOLUTION_200802211416A	1.04390761407	0.0291808275494	249.74956476	0.993439956463
CMTSOLUTION_200802231557A	1.44316187983	0.034345162813	187.329083066	0.895957713071
CMTSOLUTION_200802241446A	0.875251139452	0.143747836019	184.375827775	0.786032301782
CMTSOLUTION_200802250836A	1.21067020983	0.142632587816	1751.46181175	0.761213215145
CMTSOLUTION_200802251806A	0.885195578366	0.14000717045	320.43393298	0.732945408022
CMTSOLUTION_200802252102A	1.85839773776	0.337785713653	52.0324685437	-0.676415558283
CMTSOLUTION_200802270654A	1.40387153922	0.0154821127761	119.195801365	0.955506510426
CMTSOLUTION_200803030237A	NOT FOUND	NOT FOUND	67.3841512989	-0.599716883406
CMTSOLUTION_200803030931A	0.884312600675	0.0647881414552	1724.18484379	0.990721275584
CMTSOLUTION_200803031349A	1.57897934725	0.545236412488	580.15127742	0.818983464298
CMTSOLUTION_200803031411A	1.4144536445	0.481372867074	750.405922006	0.859999899012
CMTSOLUTION_200803131328A	1.03134751542	0.073283009352	106.050569427	0.784033473661
CMTSOLUTION_200803142232A	1.50422986754	0.0233326630423	155.034721414	0.835556827839
CMTSOLUTION_200803151443A	1.40575951257	0.146368016228	46.2423786086	0.935769022789
CMTSOLUTION_200803201410A	0.806410884877	0.020475326672	201.978687434	0.953263378193
CMTSOLUTION_200803202233A	1.49138902162	0.71602921376	32160.8319975	0.671561314004
CMTSOLUTION_200803222124A	1.02020677512	0.0574207722714	82.9080907764	0.943085850404
CMTSOLUTION_200803242039A	0.878348564863	0.0448387313799	185.430722142	0.983602555554
CMTSOLUTION_200803291730A	1.30560737247	0.0583545091725	416.970747211	0.878345843043
